Scenario,N_Effective,Score_Scale_Max,Confidence_Level,Raw_Score,Score_Percent,Lower_Limit_Percent,Upper_Limit_Percent
WW_10,10,10,0.95,0,0,0,20
WW_10,10,10,0.95,1,10,0,40
WW_10,10,10,0.95,2,20,0,50
WW_10,10,10,0.95,3,30,10,70
WW_10,10,10,0.95,4,40,10,70
WW_10,10,10,0.95,5,50,20,80
WW_10,10,10,0.95,6,60,30,90
WW_10,10,10,0.95,7,70,30,90
WW_10,10,10,0.95,8,80,50,100
WW_10,10,10,0.95,9,90,60,100
WW_10,10,10,0.95,10,100,80,100
WW_25,25,25,0.95,0,0,0,12
WW_25,25,25,0.95,1,4,0,20
WW_25,25,25,0.95,2,8,0,28
WW_25,25,25,0.95,3,12,0,32
WW_25,25,25,0.95,4,16,4,40
WW_25,25,25,0.95,5,20,4,44
WW_25,25,25,0.95,6,24,8,48
WW_25,25,25,0.95,7,28,8,52
WW_25,25,25,0.95,8,32,12,56
WW_25,25,25,0.95,9,36,16,60
WW_25,25,25,0.95,10,40,16,64
WW_25,25,25,0.95,11,44,20,68
WW_25,25,25,0.95,12,48,24,72
WW_25,25,25,0.95,13,52,28,76
WW_25,25,25,0.95,14,56,32,80
WW_25,25,25,0.95,15,60,36,84
WW_25,25,25,0.95,16,64,40,84
WW_25,25,25,0.95,17,68,44,88
WW_25,25,25,0.95,18,72,48,92
WW_25,25,25,0.95,19,76,52,92
WW_25,25,25,0.95,20,80,56,96
WW_25,25,25,0.95,21,84,60,96
WW_25,25,25,0.95,22,88,68,100
WW_25,25,25,0.95,23,92,72,100
WW_25,25,25,0.95,24,96,80,100
WW_25,25,25,0.95,25,100,88,100
Phoneme_10,25,30,0.95,0,0,0,13.3
Phoneme_10,25,30,0.95,1,3.3,0,20
Phoneme_10,25,30,0.95,2,6.7,0,23.3
Phoneme_10,25,30,0.95,3,10,0,30
Phoneme_10,25,30,0.95,4,13.3,0,33.3
Phoneme_10,25,30,0.95,5,16.7,3.3,40
Phoneme_10,25,30,0.95,6,20,3.3,43.3
Phoneme_10,25,30,0.95,7,23.3,6.7,46.7
Phoneme_10,25,30,0.95,8,26.7,10,50
Phoneme_10,25,30,0.95,9,30,10,53.3
Phoneme_10,25,30,0.95,10,33.3,13.3,56.7
Phoneme_10,25,30,0.95,11,36.7,16.7,60
Phoneme_10,25,30,0.95,12,40,16.7,66.7
